company,sector,priority,careers_url
The Irish Times,media,3,https://www.recruitireland.com/
TitanHQ,irish-tech,3,https://www.titanhq.com/careers/
Tourism Ireland,public-sector,3,https://www.tourismireland.com/careers
Verizon,mnc-tech,3,https://mycareer.verizon.com/
Viatel,telecom,3,https://www.viatel.com/about/careers-at-viatel/
VoxPro,irish-tech,3,https://voxprogroup.com/
Woodie's,retail,3,https://www.woodies-careers.ie/
Zoho,mnc-tech,3,https://www.zoho.com/careers/
Zoom,mnc-tech,3,https://careers.zoom.us/home
Aiden,irish-tech,4,https://aiden.ai/careers
Ancestry Ireland,mnc-tech,4,https://careers.ancestry.com
Artomatix,irish-tech,4,https://tampandanrupawan.jimdofree.com/
Bewley's,fmcg,4,https://bewleys.com/
Business Post,media,4,https://www.businesspost.ie/tech/anthropics-dublin-office-hunt-reveals-huge-ambitions-for-irish-jobs/
Chargebee Ireland,mnc-tech,4,https://www.chargebee.com/careers/
Chill Insurance,finance,4,https://www.chill.ie/company/careers/
Cora Systems,irish-tech,4,https://corasystems.com/careers
Danalto,irish-tech,4,https://www.danalto.com/news_category/careers/
Deposify,irish-tech,4,https://us.deposify.com
Dogpatch Labs,irish-tech,4,https://dogpatchlabs.com/careers/
Dublin Institute for Advanced Studies,education,4,https://www.dias.ie/vacancies/
Fexillon,irish-tech,4,https://www.fexillon.com/careers
Fitzwilliam Hotel Group,hospitality,4,https://fitzwilliamhotel.com/careers
Flahavan's,fmcg,4,https://www.flahavans.ie/2026/06/30/were-hiring-brand-manager-at-flahavans/
Green REIT,property,4,https://expireddomains.com/domain/greenreitplc.com?utm_source=redi
Grid Finance,finance,4,https://www.gridfinance.ie/about-us/
HealthBeacon,irish-tech,4,https://healthbeacon.com/careers/
Home Building Finance Ireland,finance,4,https://www.hbfi.ie/careers
Kianda,irish-tech,4,https://careers.kianda.com
Logentries,irish-tech,4,https://careers.rapid7.com/
Luzern eCommerce,irish-tech,4,https://www.luzern.co/company/careers/
Met Eireann,public-sector,4,https://www.met.ie/about-us/vacancies
MyWallSt,irish-tech,4,https://www.mywallst.com/careers
Nova Leah,irish-tech,4,https://novaleah.com/cgi-sys/suspendedpage.cgi
Pointy,irish-tech,4,https://support.google.com/business/answer/9934993?utm_campaign=landingpage
PrecisionBiotics,pharma,4,https://precisionbiotics.ie/
RSM Ireland,finance,4,https://www.rsm.global/working-for-rsm
Restored Hearing,irish-tech,4,https://lios-group.com/
Sedicii,irish-tech,4,https://sedicii.com/about/about-sedicii/careers/
Sports Interactive Ireland,irish-tech,4,https://privacy.sega.com/en/application-for-employment-andor-temporaryagency-work-the-notice
Strategic Banking Corporation of Ireland,finance,4,https://www.sbci.gov.ie/about-us/careers
Utmost,irish-tech,4,https://utmost.io/careers
Vidatec,irish-tech,4,https://vidatec.com/careers/
VideoDoc,irish-tech,4,https://videodoc.ie/careers/
Voxgig,irish-tech,4,https://voxgig.com/jobs
Waterford Technologies,irish-tech,4,https://complykey.com
Wombat Invest,irish-tech,4,https://wombat.co.uk/careers
Xanadu Consultancy,irish-tech,4,https://xanadu.ie/careers/
